iter	Passed	Remaining
1024	6081	5785
1025	6087	5778
1026	6093	5772
1027	6098	5766
1028	6104	5760
1029	6111	5755
1030	6116	5749
1031	6122	5743
1032	6128	5736
1033	6134	5730
1034	6139	5724
1035	6145	5718
1036	6151	5712
1037	6156	5706
1038	6162	5700
1039	6168	5693
1040	6174	5688
1041	6180	5682
1042	6185	5675
1043	6191	5669
1044	6197	5663
1045	6203	5657
1046	6208	5651
1047	6214	5645
1048	6220	5639
1049	6226	5633
1050	6232	5627
1051	6237	5621
1052	6243	5615
1053	6249	5608
1054	6254	5602
1055	6260	5596
1056	6267	5591
1057	6273	5585
1058	6279	5580
1059	6285	5573
1060	6291	5568
1061	6297	5561
1062	6302	5555
1063	6308	5549
1064	6314	5543
1065	6320	5537
1066	6326	5531
1067	6331	5525
1068	6337	5519
1069	6343	5513
1070	6348	5507
1071	6354	5501
1072	6360	5494
1073	6366	5488
1074	6371	5482
1075	6377	5476
1076	6383	5470
1077	6389	5464
1078	6395	5458
1079	6401	5453
1080	6407	5446
1081	6412	5440
1082	6418	5434
1083	6424	5428
1084	6429	5422
1085	6435	5416
1086	6440	5409
1087	6446	5403
1088	6452	5397
1089	6457	5391
1090	6463	5385
1091	6469	5379
1092	6474	5373
1093	6480	5367
1094	6486	5360
1095	6492	5354
1096	6497	5348
1097	6503	5342
1098	6509	5336
1099	6514	5330
1100	6520	5324
1101	6526	5318
1102	6531	5311
1103	6537	5305
1104	6543	5299
1105	6549	5293
1106	6552	5285
1107	6558	5279
1108	6563	5273
1109	6569	5267
1110	6575	5261
1111	6581	5255
1112	6587	5249
1113	6593	5243
1114	6599	5237
1115	6604	5231
1116	6610	5225
1117	6616	5219
1118	6622	5213
1119	6628	5207
1120	6633	5201
1121	6639	5195
1122	6645	5190
1123	6651	5184
1124	6659	5179
1125	6665	5173
1126	6671	5167
1127	6677	5161
1128	6683	5155
1129	6688	5149
1130	6694	5143
1131	6700	5137
1132	6706	5131
1133	6711	5125
1134	6717	5119
1135	6722	5113
1136	6728	5106
1137	6734	5101
1138	6740	5095
1139	6745	5089
1140	6751	5083
1141	6757	5077
1142	6763	5070
1143	6769	5064
1144	6774	5059
1145	6780	5052
1146	6786	5046
1147	6792	5041
1148	6798	5035
1149	6804	5029
1150	6810	5023
1151	6816	5017
1152	6822	5011
1153	6827	5005
1154	6833	4999
1155	6839	4993
1156	6845	4987
1157	6850	4981
1158	6856	4975
1159	6862	4969
1160	6868	4963
1161	6873	4957
1162	6879	4951
1163	6885	4945
1164	6891	4939
1165	6897	4933
1166	6903	4927
1167	6909	4921
1168	6915	4915
1169	6920	4909
1170	6926	4903
1171	6932	4897
1172	6938	4891
1173	6943	4885
1174	6949	4879
1175	6955	4873
1176	6960	4867
1177	6966	4861
1178	6972	4855
1179	6977	4849
1180	6983	4843
1181	6989	4837
1182	6995	4831
1183	7001	4825
1184	7003	4816
1185	7008	4810
1186	7014	4804
1187	7017	4796
1188	7023	4790
1189	7029	4784
1190	7035	4778
1191	7041	4772
1192	7046	4766
1193	7056	4763
1194	7062	4757
1195	7068	4751
1196	7074	4745
1197	7079	4739
1198	7085	4733
1199	7091	4727
1200	7097	4721
1201	7102	4715
1202	7108	4709
1203	7114	4703
1204	7120	4697
1205	7126	4691
1206	7131	4685
1207	7137	4679
1208	7143	4673
1209	7149	4667
1210	7155	4661
1211	7161	4655
1212	7166	4649
1213	7172	4643
1214	7178	4637
1215	7184	4631
1216	7190	4626
1217	7196	4620
1218	7202	4614
1219	7208	4608
1220	7213	4602
1221	7219	4596
1222	7224	4590
1223	7230	4584
1224	7236	4578
1225	7242	4572
1226	7248	4566
1227	7253	4560
1228	7259	4554
1229	7265	4548
1230	7271	4542
1231	7276	4536
1232	7282	4530
1233	7288	4524
1234	7294	4518
1235	7300	4512
1236	7306	4506
1237	7312	4500
1238	7318	4494
1239	7323	4488
1240	7329	4482
1241	7335	4477
1242	7341	4471
1243	7348	4465
1244	7353	4459
1245	7359	4453
1246	7366	4448
1247	7371	4442
1248	7377	4436
1249	7383	4430
1250	7389	4424
1251	7395	4418
1252	7401	4412
1253	7407	4406
1254	7413	4400
1255	7419	4394
1256	7425	4388
1257	7431	4383
1258	7436	4376
1259	7442	4371
1260	7460	4372
1261	7470	4368
1262	7478	4363
1263	7486	4359
1264	7492	4353
1265	7498	4347
1266	7505	4342
1267	7511	4336
1268	7517	4330
1269	7523	4324
1270	7529	4318
1271	7535	4312
1272	7541	4306
1273	7546	4300
1274	7552	4294
1275	7558	4288
1276	7563	4282
1277	7569	4276
1278	7575	4270
1279	7580	4264
1280	7586	4258
1281	7592	4252
1282	7598	4246
1283	7604	4240
1284	7610	4234
1285	7616	4228
1286	7621	4222
1287	7627	4216
1288	7632	4210
1289	7638	4204
1290	7644	4198
1291	7650	4192
1292	7656	4186
1293	7661	4180
1294	7667	4174
1295	7673	4168
1296	7678	4162
1297	7684	4156
1298	7690	4150
1299	7696	4144
1300	7702	4138
1301	7708	4132
1302	7714	4126
1303	7719	4120
1304	7725	4114
1305	7731	4108
1306	7737	4102
1307	7742	4096
1308	7748	4090
1309	7754	4084
1310	7760	4078
1311	7765	4072
1312	7771	4066
1313	7777	4060
1314	7783	4054
1315	7788	4048
1316	7794	4042
1317	7800	4036
1318	7806	4030
1319	7811	4024
1320	7817	4018
1321	7820	4011
1322	7826	4004
1323	7832	3999
1324	7838	3993
1325	7843	3986
1326	7849	3981
1327	7857	3975
1328	7862	3969
1329	7868	3963
1330	7874	3957
1331	7880	3952
1332	7886	3946
1333	7891	3940
1334	7897	3934
1335	7903	3928
1336	7909	3922
1337	7915	3916
1338	7921	3910
1339	7927	3904
1340	7933	3898
1341	7938	3892
1342	7945	3886
1343	7951	3880
1344	7956	3874
1345	7962	3868
1346	7968	3862
1347	7974	3857
1348	7980	3851
1349	7986	3845
1350	7992	3839
1351	7998	3833
1352	8003	3827
1353	8009	3821
1354	8015	3815
1355	8021	3809
1356	8026	3803
1357	8033	3797
1358	8039	3791
1359	8044	3785
1360	8050	3780
1361	8056	3774
1362	8062	3767
1363	8068	3762
1364	8074	3756
1365	8080	3750
1366	8086	3744
1367	8092	3738
1368	8098	3732
1369	8104	3726
1370	8110	3720
1371	8116	3715
1372	8122	3709
1373	8128	3703
1374	8134	3697
1375	8139	3691
1376	8145	3685
1377	8152	3679
1378	8157	3673
1379	8163	3667
1380	8169	3661
1381	8175	3655
1382	8181	3649
1383	8187	3643
1384	8192	3637
1385	8198	3631
1386	8204	3625
1387	8210	3620
1388	8215	3613
1389	8221	3608
1390	8227	3602
1391	8233	3596
1392	8239	3590
1393	8246	3585
1394	8252	3579
1395	8258	3573
1396	8264	3567
1397	8269	3561
1398	8275	3555
1399	8281	3549
1400	8287	3543
1401	8292	3537
1402	8298	3531
1403	8304	3525
1404	8309	3519
1405	8315	3513
1406	8321	3507
1407	8327	3501
1408	8333	3495
1409	8338	3489
1410	8344	3483
1411	8350	3477
1412	8356	3471
1413	8362	3465
1414	8367	3459
1415	8373	3453
1416	8378	3447
1417	8384	3441
1418	8390	3435
1419	8396	3429
1420	8402	3423
1421	8408	3417
1422	8414	3412
1423	8420	3405
1424	8426	3400
1425	8432	3394
1426	8438	3388
1427	8444	3382
1428	8450	3376
1429	8456	3370
1430	8462	3364
1431	8467	3358
1432	8473	3352
1433	8479	3346
1434	8485	3340
1435	8491	3335
1436	8497	3329
1437	8502	3323
1438	8508	3317
1439	8514	3311
1440	8520	3305
1441	8525	3299
1442	8531	3293
1443	8537	3287
1444	8542	3281
1445	8548	3275
1446	8554	3269
1447	8560	3263
1448	8566	3257
1449	8572	3251
1450	8578	3245
1451	8584	3239
1452	8589	3233
1453	8595	3227
1454	8601	3221
1455	8606	3215
1456	8612	3209
1457	8618	3203
1458	8624	3197
1459	8630	3192
1460	8635	3185
1461	8641	3180
1462	8647	3173
1463	8653	3168
1464	8660	3162
1465	8666	3156
1466	8672	3150
1467	8678	3144
1468	8684	3139
1469	8689	3133
1470	8695	3127
1471	8701	3121
1472	8706	3115
